Oh17_group_id,tgas_source_id,name,ra,dec,parallax,distance,G,J,rv,rv_err
3837,1314847715900795392,TYC 2597-340-1,252.03914116566816,34.123298644271436,5.979360959714174,168.20926965596337,10.409768977405779,9.406999588012695,-33.264070218693846,19.53731304024174
3842,1339137233428866816,TYC 2602-1156-1,254.46197749449735,36.01995425257268,5.84590300519602,173.01715655692206,9.713109414749553,8.802000045776367,-73.259233761566,19.447603389209775
3842,1314905508981559424,TYC 2597-913-1,252.50485115679808,34.80984745374532,5.814007184560416,174.7956914610115,10.39850447722231,9.28499984741211,-26.707003275811964,19.57638570187445
3847,1471129275016117120,HIP 67476,207.41368631439863,34.9911950332327,10.706956168519076,93.65444425798565,10.072796778370526,9.0,-14.147104932872434,19.416308017573183
3847,1471129068857687040,HD 120582,207.41230876617956,34.98836989052209,10.789024018829569,92.92629944677432,8.765544497843052,7.9670000076293945,-19.297810048807293,19.032046631602835
3861,1674853386480061440,HD 123277,210.90059476889354,70.02597498365985,10.039698544967061,99.83212117634967,7.944651340982823,6.572999954223633,43.43300652738876,19.71023768466645
3861,1672929000613408768,TYC 4402-239-1,204.92020735394777,68.13893930015513,9.400967819653324,106.65766627852098,11.393937747813357,10.001999855041504,-42.29917836570628,21.362319063447934
3871,1476098277299835520,HD 116843,201.4338388726672,37.84256487744674,7.700667257146297,130.97653457770386,8.474967093799453,7.664000034332275,-13.387149294551532,19.279439154005686
3871,1473499409768676992,TYC 2542-1009-1,202.0676678619112,36.116063258171884,7.518335939899726,133.91425753227222,10.74958075945532,9.66100025177002,-28.164750478136135,19.319799797787876
3883,3106628838238094720,TYC 4803-60-1,100.37407244606695,-2.0242858788640095,7.598907165699451,132.07563482179742,10.792733814893706,9.692999839782715,47.542988556367625,19.471607279682402
3883,3106467519263678464,HD 295277,99.91188394997177,-2.801663557034181,7.931770625483366,126.57237937620009,8.848389263227755,8.098999977111816,54.8847176925222,19.21415542066654
3885,647909904094557312,TYC 1965-66-1,144.38705538053,28.025152710191485,7.836322610768345,129.23503439223074,10.079919362220531,9.038999557495117,25.845955911966648,19.305905123954528
3885,648000854321792512,TYC 1966-10-1,146.70473194666468,27.881454817407416,7.726210879576646,130.9296980243056,9.467203657633462,8.51099967956543,23.905628477831527,19.016693813826976
3905,1475763304210804864,HD 118742C,204.48718379533744,39.17441611591613,22.522230241521253,44.44432850850999,8.877448135886734,7.6620001792907715,-42.93828906206543,19.299356515711665
3905,1475768973567635456,HD 118742,204.5069304628676,39.17747065139289,21.973900921934,45.5341023078085,7.719981434414873,6.526000022888184,-26.214024807912324,19.215605114803864
3910,3168774266229409664,TYC 1360-898-1,112.82112011441598,16.593745455207603,14.93602207500757,68.19283972527823,10.337987771144421,8.918000221252441,42.9319978233912,20.43727228326795
3910,3163406313023608320,TYC 777-1316-1,113.58819296292366,13.245329427472878,15.821220803101552,63.26674036356225,8.704149594871353,7.672999858856201,51.413557207248246,19.62720535514625
3935,263654298406159360,HD 37556,85.59443171911188,52.66244669617272,11.204782998855844,89.46189770416667,8.212455900854007,7.303999900817871,-2.8174617895608876,19.30776308727418
3935,266487464994921600,HD 233111,80.87443106375844,54.06920508661826,10.844958851413114,92.38498224274787,9.120777886638834,8.086000442504883,17.454995185720065,19.33585192703086
3946,650322301325158144,HD 69112,123.98193555745816,12.857847575009655,8.96371192198765,111.98412492376686,8.79794269135689,7.936999797821045,54.25984329330435,19.108286233426053
3946,650293610943629568,TYC 802-896-1,123.61010472250904,12.702212244486205,8.900391109019525,114.51162350718748,10.691610815711565,9.526000022888184,42.54596539697408,19.61676628605912
3958,1479430072409525376,TYC 2552-1058-1,213.63171968907986,35.553407810215184,10.6571851257089,94.1040586002114,10.218530689065187,9.053000450134277,-34.708709308996816,19.324509990884557
3958,1482432151470323584,HD 124711,213.58944308153343,35.54155502588919,10.464978159156649,96.02406510610741,8.417636617561605,7.591000080108643,-22.750943001833882,19.344040366665
3971,1481533678671639424,TYC 3035-533-1,215.66030828910314,37.61445646982122,6.027223232683693,167.04484110328164,11.827793266342061,10.532999992370605,-28.542172453854178,19.730271400629107
3971,1480636305384916224,TYC 2549-295-1,214.8559488887159,34.872307088057276,6.232707068486615,162.0089587876884,9.81271427316866,8.880999565124512,-31.722445721722067,19.156416300651827
