hip,bibcode,nbmes,obsdate,qual,quality,velType,velValue,velValue_prec,remark,remarks,oidref,hipnospace
HIP  23555,2006AstL...32..759G,,,,A,V  ,30.4,2.0,,,775676,HIP23555
HIP  23555,2004A&A...418..989N,4.0,,,A,v  ,30.5,1.0,,,775676,HIP23555
HIP  23555,1979IAUS...30...57E,4.0,,,B,v  ,28.700000762939453,1.0,,##,775676,HIP23555
HIP  23555,1964RGOB...85..207E,4.0,,,,v  ,28.700000762939453,1.0,,,775676,HIP23555
HIP  23941,17AJ....153...7521K,1.0,54582.356,A,A,v  ,9.43,2.0,,,771010,HIP23941
HIP  23941,2007A&A...465..271R,,,,A,v  ,10.1,1.0,,,771010,HIP23941
HIP  23941,2006AstL...32..759G,,,,A,V  ,10.0,2.0,,,771010,HIP23941
HIP  23941,2004A&A...418..989N,7.0,,,A,v  ,10.100000381469727,1.0,,,771010,HIP23941
HIP  23941,1979IAUS...30...57E,10.0,,,A,v  ,8.800000190734863,1.0,,##,771010,HIP23941
HIP  23941,1961MNRAS.123..233B,2.0,,,,v  ,7.0,1.0,,,771010,HIP23941
HIP  23941,1953GCRV..C......0W,8.0,,,A,v  ,9.399999618530273,1.0,,##,771010,HIP23941
HIP  23941,1950ApJ...111..221W,2.0,,,,v  ,10.0,1.0,,,771010,HIP23941
HIP  23941,1928PLicO..16....1C,3.0,,,,v  ,9.899999618530273,1.0,,,771010,HIP23941
HIP  23941,1921AnCap..10e...1L,3.0,,,,v  ,8.800000190734863,1.0,,,771010,HIP23941
HIP  24037,2007A&A...465..271R,,,,A,v  ,64.1,1.0,,,771431,HIP24037
HIP  24037,2004A&A...418..989N,4.0,,,A,v  ,64.0999984741211,1.0,,,771431,HIP24037
HIP  24037,2006AstL...32..759G,,,,A,V  ,64.3,2.0,,,771431,HIP24037
HIP  24037,2011A&A...531A...8J,,,,B,v  ,64.0,1.0,,,771431,HIP24037
HIP  24682,2013A&A...552A..64S,,,,A,z  ,-23.339,3.0,,,790600,HIP24682
HIP  24682,2006AstL...32..759G,,,,A,V  ,-23.1,2.0,,,790600,HIP24682
HIP  24682,2004A&A...418..989N,2.0,,,A,v  ,-23.399999618530273,1.0,,,790600,HIP24682
HIP  24722,2004A&A...418..989N,2.0,,,A,v  ,50.79999923706055,1.0,,,3194337,HIP24722
HIP  24722,2006AstL...32..759G,,,,A,V  ,51.0,2.0,,,3194337,HIP24722
HIP  24819,1923ApJ....57..149A,3.0,,,,v  ,85.69999694824219,1.0,,,786489,HIP24819
HIP  24819,1953GCRV..C......0W,3.0,,,B,v  ,85.19999694824219,1.0,,##,786489,HIP24819
HIP  24819,1960MNRAS.120..317L,1.0,,,,v  ,88.0,1.0,,,786489,HIP24819
HIP  24819,1979IAUS...30...57E,4.0,,,B,v  ,86.5,1.0,,##,786489,HIP24819
HIP  24819,2004A&A...418..989N,11.0,,,A,v  ,87.5999984741211,1.0,,,786489,HIP24819
HIP  24819,2010A&A...521A..12M,,,D,,V  ,88.22,2.0,,,786489,HIP24819
HIP  24819,2010A&A...521A..12M,,,,A,V  ,87.95,2.0,,,786489,HIP24819
HIP  24829,17AJ....153...7521K,1.0,54729.763,A,A,v  ,42.52,2.0,,,2998071,HIP24829
HIP  24829,2006AstL...32..759G,,,,A,V  ,43.8,2.0,,,2998071,HIP24829
HIP  24829,2004A&A...418..989N,3.0,,,A,v  ,43.900001525878906,1.0,,,2998071,HIP24829
HIP  24829,1999VeARI..35....1W,,,,,v  ,45.099998474121094,1.0,,,2998071,HIP24829
HIP  24829,1979IAUS...30...57E,8.0,,,B,v  ,45.099998474121094,1.0,,##,2998071,HIP24829
HIP  24829,1965MNRAS.131...95P,1.0,,,,v  ,45.79999923706055,1.0,,,2998071,HIP24829
HIP  24829,1953GCRV..C......0W,7.0,,,B,v  ,45.0,1.0,,##,2998071,HIP24829
HIP  24829,1930LicOB..15...47N,7.0,,,,v  ,45.0,1.0,,,2998071,HIP24829
HIP  25209,2004A&A...418..989N,2.0,,,A,v  ,68.19999694824219,1.0,,,784422,HIP25209
HIP  25209,2006AstL...32..759G,,,,A,V  ,67.8,2.0,,,784422,HIP25209
HIP  25528,2004A&A...418..989N,5.0,,,A,v  ,-80.9000015258789,1.0,,,815427,HIP25528
HIP  25528,2006AstL...32..759G,,,,A,V  ,-81.1,2.0,,,815427,HIP25528
HIP  25905,1929ApJ....70..207A,3.0,,,,v  ,-9.0,1.0,,,798849,HIP25905
HIP  25905,1953GCRV..C......0W,3.0,,,B,v  ,-9.100000381469727,1.0,,##,798849,HIP25905
HIP  25905,2004A&A...418..989N,9.0,,,A,v  ,-7.800000190734863,1.0,,,798849,HIP25905
HIP  25905,2006AstL...32..759G,,,,A,V  ,-7.6,2.0,,,798849,HIP25905
HIP  26273,2013A&A...552A..64S,,,,A,z  ,12.535,3.0,,,817220,HIP26273
HIP  26273,2013A&A...554A..84M,,,,A,V  ,11.9,2.0,,,817220,HIP26273
HIP  26273,2004A&A...418..989N,4.0,,,A,v  ,11.899999618530273,1.0,,,817220,HIP26273
HIP  26273,2002ApJS..141..503N,,,,A,V  ,12.51,2.0,,,817220,HIP26273
HIP  26641,2006AstL...32..759G,,,,C,V  ,23.0,2.0,,,828717,HIP26641
HIP  26641,2011A&A...531A...8J,,,,B,v  ,19.9,1.0,,,828717,HIP26641
HIP  26828,2007A&A...465..271R,,,,,v  ,30.9,1.0,,,823012,HIP26828
HIP  26828,2004A&A...418..989N,4.0,,,D,v  ,30.899999618530273,1.0,,,823012,HIP26828
HIP  26828,2007A&A...475..519H,,,,E,V  ,30.9,2.0,,,823012,HIP26828
HIP  27072,2007A&A...465..271R,,,,A,v  ,-9.5,1.0,,,832345,HIP27072
HIP  27072,1911PLicO...9...71W,2.0,,,,v  ,-8.899999618530273,1.0,,,832345,HIP27072
HIP  27072,1913LicOB...7..113C,1.0,,,,v  ,-9.100000381469727,1.0,,,832345,HIP27072
HIP  27072,1919ApJ....50..161L,5.0,,,,v  ,-11.399999618530273,1.0,,,832345,HIP27072
HIP  27072,1928AnCap..10h...1J,5.0,,,,v  ,-9.0,1.0,,,832345,HIP27072
HIP  27072,1928PLicO..16....1C,9.0,,,,v  ,-9.199999809265137,1.0,,,832345,HIP27072
HIP  27072,1944ApJ....99..271M,2.0,,,,v  ,-11.0,1.0,,,832345,HIP27072
HIP  27072,1953GCRV..C......0W,14.0,,,A,v  ,-9.699999809265137,1.0,,##,832345,HIP27072
HIP  27072,1965RGOB...93..363W,3.0,,,,v  ,-9.899999618530273,1.0,,,832345,HIP27072
HIP  27072,1965RGOB...93..363W,2.0,,,,v  ,-10.100000381469727,1.0,,,832345,HIP27072
HIP  27072,1979IAUS...30...57E,19.0,,,A,v  ,-9.699999809265137,1.0,,##,832345,HIP27072
HIP  27072,2004A&A...418..989N,9.0,,,A,v  ,-9.5,1.0,,,832345,HIP27072
HIP  27072,2004A&A...420..183A,,,,C,v  ,-9.6,1.0,,,832345,HIP27072
HIP  27072,2011AAS...21743412C,,,,A,V  ,-9.29,2.0,,,832345,HIP27072
HIP  27080,1953GCRV..C......0W,1.0,,,D,v  ,25.0,0.0,,##,3108657,HIP27080
HIP  27080,1961RGOB...48..389E,4.0,,,,v  ,14.199999809265137,1.0,,,3108657,HIP27080
HIP  27080,1965MNRAS.129...63P,4.0,,,,v  ,14.5,1.0,,,3108657,HIP27080
HIP  27080,1974A&AS...13..173F,2.0,,,B,v  ,-8.0,0.0,,,3108657,HIP27080
HIP  27080,1979IAUS...30...57E,9.0,,,A,v  ,14.199999809265137,1.0,,##,3108657,HIP27080
HIP  27080,2004A&A...418..989N,76.0,,,A,v  ,13.699999809265137,1.0,,,3108657,HIP27080
HIP  27080,2006AstL...32..759G,,,,A,V  ,13.9,2.0,,,3108657,HIP27080
HIP  27128,2007A&A...465..271R,,,,A,v  ,183.7,1.0,,,832957,HIP27128
HIP  27128,2000AJ....119.2866B,,,,,v  ,172.0,0.0,,,832957,HIP27128
HIP  27128,2004A&A...418..989N,4.0,,,A,v  ,183.6999969482422,1.0,,,832957,HIP27128
HIP  27128,2011A&A...526A.112S,,,,A,V  ,183.83,2.0,,,832957,HIP27128
HIP  27910,17AJ....153...7521K,1.0,55154.661,C,C,v  ,91.32,2.0,,,850232,HIP27910
HIP  27910,2006AstL...32..759G,,,,A,V  ,85.5,2.0,,,850232,HIP27910
HIP  27910,2004A&A...418..989N,2.0,,,A,v  ,85.19999694824219,1.0,,,850232,HIP27910
HIP  28044,2013A&A...552A..64S,,,,A,z  ,-60.828,3.0,,,844976,HIP28044
HIP  28044,2006AstL...32..759G,,,,A,V  ,-60.7,2.0,,,844976,HIP28044
HIP  28044,2004A&A...418..989N,6.0,,,A,v  ,-61.0,1.0,,,844976,HIP28044
HIP  28066,1914ApJ....39..341.,3.0,,,,v  ,-2.0,1.0,,,842923,HIP28066
HIP  28066,1923ApJ....57..149A,3.0,,,,v  ,-1.600000023841858,1.0,,,842923,HIP28066
HIP  28066,1933PDAO....6..149H,2.0,,,,v  ,-2.5,1.0,,,842923,HIP28066
HIP  28066,1953GCRV..C......0W,5.0,,,B,v  ,-2.0999999046325684,1.0,,##,842923,HIP28066
HIP  28066,2002ApJS..141..503N,,,,A,V  ,0.37,2.0,,,842923,HIP28066
HIP  28066,2004A&A...418..989N,17.0,,,A,v  ,0.10000000149011612,1.0,,,842923,HIP28066
HIP  28159,1950ApJ...111..221W,3.0,,,,v  ,-24.5,1.0,,,842162,HIP28159
HIP  28159,1953GCRV..C......0W,3.0,,,B,v  ,-24.0,1.0,,##,842162,HIP28159
HIP  28159,2002AJ....124.1144L,12.0,,,A,v  ,-27.420000076293945,2.0,,,842162,HIP28159
HIP  28159,2002AJ....124.1144L,,,,A,V  ,-27.42,2.0,,,842162,HIP28159
HIP  28159,2004A&A...418..989N,3.0,,,A,v  ,-26.600000381469727,1.0,,,842162,HIP28159
HIP  28267,2002ApJS..141..503N,,,,A,V  ,143.67,2.0,,,845364,HIP28267
HIP  28267,2004A&A...418..989N,9.0,,,A,v  ,143.3000030517578,1.0,,,845364,HIP28267
HIP  28267,2010A&A...521A..12M,,,D,,V  ,144.09,2.0,,,845364,HIP28267
HIP  28369,2004A&A...418..989N,2.0,,,A,v  ,93.80000305175781,1.0,,,846647,HIP28369
HIP  28369,2006AstL...32..759G,,,,A,V  ,93.7,2.0,,,846647,HIP28369
HIP  28403,2004A&A...418..989N,2.0,,,A,v  ,39.20000076293945,1.0,,,849696,HIP28403
HIP  28403,2011A&A...526A.112S,,,,A,V  ,39.48,2.0,,,849696,HIP28403
HIP  28671,2007A&A...465..271R,,,,B,v  ,-190.7,1.0,,,857499,HIP28671
HIP  28671,2014AJ....147..136R,,,D,,V  ,-191.6,1.0,,,857499,HIP28671
HIP  28671,1923ApJ....57..149A,4.0,,,,v  ,-190.8000030517578,1.0,,,857499,HIP28671
HIP  28671,1953GCRV..C......0W,4.0,,,C,v  ,-190.0,0.0,,##,857499,HIP28671
HIP  28671,2002AJ....124.1144L,14.0,,,A,v  ,-190.8800048828125,2.0,,,857499,HIP28671
HIP  28671,2002AJ....124.1144L,,,,A,V  ,-191.33,2.0,,,857499,HIP28671
HIP  28671,2011ApJ...743..140B,,,D,,V  ,-190.0,1.0,,,857499,HIP28671
HIP  29271,2007A&A...465..271R,,,,A,v  ,35.6,1.0,,,3177830,HIP29271
HIP  29271,1913LicOB...7..113C,2.0,,,,v  ,39.0,1.0,,,3177830,HIP29271
HIP  29271,1928PLicO..16....1C,5.0,,,,v  ,35.0,1.0,,,3177830,HIP29271
HIP  29271,1953GCRV..C......0W,5.0,,,A,v  ,35.0,1.0,,##,3177830,HIP29271
HIP  29271,1957MNRAS.117..534E,4.0,,,,v  ,34.79999923706055,1.0,,,3177830,HIP29271
HIP  29271,1979IAUS...30...57E,9.0,,,A,v  ,34.900001525878906,1.0,,##,3177830,HIP29271
HIP  29271,1999VeARI..35....1W,,,,,v  ,34.900001525878906,1.0,,,3177830,HIP29271
HIP  29271,2004A&A...418..989N,4.0,,,A,v  ,35.599998474121094,1.0,,,3177830,HIP29271
HIP  29271,2004A&A...420..183A,,,,C,v  ,34.9,1.0,,,3177830,HIP29271
HIP  29271,2005ApJS..159..141V,,,,B,V  ,37.1,2.0,,,3177830,HIP29271
HIP  29716,2007A&A...465..271R,,,,A,v  ,-39.6,1.0,,,878083,HIP29716
HIP  29716,1923ApJ....57..149A,3.0,,,,v  ,-36.099998474121094,1.0,,,878083,HIP29716
HIP  29716,1953GCRV..C......0W,3.0,,,C,v  ,-36.0,0.0,,##,878083,HIP29716
HIP  29716,1963MNRAS.126..381K,3.0,,,,v  ,-36.29999923706055,1.0,,,878083,HIP29716
HIP  29716,1979IAUS...30...57E,6.0,,,B,v  ,-36.599998474121094,1.0,,##,878083,HIP29716
HIP  29716,2000VeARI..37....1W,,,,,v  ,-36.599998474121094,1.0,,,878083,HIP29716
HIP  29716,2004A&A...418..989N,5.0,,,A,v  ,-39.599998474121094,1.0,,,878083,HIP29716
HIP  29716,2005PASJ...57...13T,,,,,v  ,-36.6,1.0,,,878083,HIP29716
HIP  29716,2006AstL...32..759G,,,,A,V  ,-39.6,2.0,,,878083,HIP29716
HIP  30158,2004A&A...418..989N,4.0,,,A,v  ,44.099998474121094,1.0,,,883766,HIP30158
HIP  30158,2006AstL...32..759G,,,,A,V  ,44.4,2.0,,,883766,HIP30158
HIP  30439,2004A&A...418..989N,4.0,,,A,v  ,60.79999923706055,1.0,,,2964355,HIP30439
HIP  30439,2006AstL...32..759G,,,,A,V  ,61.0,2.0,,,2964355,HIP30439
HIP  30476,2014MNRAS.444.3517M,,,D,,V  ,56.6,1.0,,,898366,HIP30476
HIP  30476,2013A&A...552A..64S,,,,A,z  ,56.446,3.0,,,898366,HIP30476
HIP  30476,2005ApJS..159..141V,,,,A,V  ,57.4,2.0,,,898366,HIP30476
HIP  30476,2004A&A...418..989N,4.0,,,A,v  ,56.0,1.0,,,898366,HIP30476
HIP  30476,1979IAUS...30...57E,8.0,,,B,v  ,52.099998474121094,1.0,,##,898366,HIP30476
HIP  30476,1965MNRAS.131...95P,2.0,,,,v  ,50.900001525878906,1.0,,,898366,HIP30476
HIP  30476,1961RGOB...48..389E,4.0,,,,v  ,54.79999923706055,1.0,,,898366,HIP30476
HIP  30476,1953GCRV..C......0W,2.0,,,C,v  ,48.0,0.0,,##,898366,HIP30476
HIP  30476,1950ApJ...111..221W,2.0,,,,v  ,47.79999923706055,1.0,,,898366,HIP30476
HIP  30480,2004A&A...418..989N,9.0,,,A,v  ,25.799999237060547,1.0,,,3051640,HIP30480
HIP  30480,2005ApJS..159..141V,,,,B,V  ,28.4,2.0,,,3051640,HIP30480
HIP  30503,2013A&A...552A..64S,,,,A,z  ,-3.78,3.0,,,896838,HIP30503
HIP  30503,2004A&A...418..989N,4.0,,,A,v  ,-4.099999904632568,1.0,,,896838,HIP30503
HIP  30503,2002ApJS..141..503N,,,,A,V  ,-3.98,2.0,,,896838,HIP30503
HIP  30545,2007A&A...465..271R,,,,A,v  ,46.9,1.0,,,892773,HIP30545
HIP  30545,1932MNRAS..92..771S,4.0,,,,v  ,44.099998474121094,1.0,,,892773,HIP30545
HIP  30545,1953GCRV..C......0W,4.0,,,B,v  ,45.099998474121094,1.0,,##,892773,HIP30545
HIP  30545,1965MNRAS.131...95P,1.0,,,,v  ,41.70000076293945,1.0,,,892773,HIP30545
HIP  30545,1979IAUS...30...57E,5.0,,,B,v  ,44.29999923706055,1.0,,##,892773,HIP30545
HIP  30545,2002ApJS..141..503N,,,,A,V  ,47.34,2.0,,,892773,HIP30545
HIP  30545,2004A&A...418..989N,39.0,,,A,v  ,46.900001525878906,1.0,,,892773,HIP30545
HIP  31030,1952ApJ...115..157W,3.0,,,,v  ,0.800000011920929,1.0,,,895264,HIP31030
HIP  31030,1953GCRV..C......0W,3.0,,,B,v  ,1.2999999523162842,1.0,,##,895264,HIP31030
HIP  31030,2004A&A...418..989N,5.0,,,A,v  ,3.299999952316284,1.0,,,895264,HIP31030
HIP  31030,2006AstL...32..759G,,,,A,V  ,3.6,2.0,,,895264,HIP31030
HIP  32649,2004A&A...418..989N,2.0,,,A,v  ,83.80000305175781,1.0,,,933037,HIP32649
HIP  32649,2006AstL...32..759G,,,,A,V  ,84.1,2.0,,,933037,HIP32649
HIP  33094,2013A&A...552A..64S,,,,A,z  ,72.465,3.0,,,932592,HIP33094
HIP  33094,2004A&A...418..989N,6.0,,,A,v  ,72.0999984741211,1.0,,,932592,HIP33094
HIP  33094,2002ApJS..141..503N,,,,A,V  ,72.44,2.0,,,932592,HIP33094
HIP  33094,1979IAUS...30...57E,9.0,,,A,v  ,72.0999984741211,1.0,,##,932592,HIP33094
HIP  33094,1957MNRAS.117..534E,4.0,,,,v  ,70.9000015258789,1.0,,,932592,HIP33094
HIP  33094,1953GCRV..C......0W,4.0,,,B,v  ,72.19999694824219,1.0,,##,932592,HIP33094
HIP  33094,1929ApJ....70..207A,4.0,,,,v  ,71.69999694824219,1.0,,,932592,HIP33094
HIP  33220,2004A&A...418..989N,3.0,,,A,v  ,92.5,1.0,,,933000,HIP33220
HIP  33220,2006AstL...32..759G,,,,A,V  ,92.0,2.0,,,933000,HIP33220
HIP  33324,1964RGOB...85..207E,4.0,,,,v  ,63.900001525878906,1.0,,,3021849,HIP33324
HIP  33324,1965MNRAS.131...95P,2.0,,,,v  ,76.69999694824219,1.0,,,3021849,HIP33324
HIP  33324,1979IAUS...30...57E,6.0,,,C,v  ,68.0,0.0,,##,3021849,HIP33324
HIP  33324,2004A&A...418..989N,5.0,,,A,v  ,62.70000076293945,1.0,,,3021849,HIP33324
HIP  33324,2005ApJS..159..141V,,,,A,V  ,70.5,2.0,,,3021849,HIP33324
HIP  33582,2013A&A...552A..64S,,,,A,z  ,-94.239,3.0,,,940717,HIP33582
HIP  33582,2004A&A...418..989N,7.0,,,A,v  ,-93.80000305175781,1.0,,,940717,HIP33582
HIP  33582,2002AJ....124.1144L,,,,A,V  ,-94.22,2.0,,,940717,HIP33582
HIP  33582,2002AJ....124.1144L,14.0,,,A,v  ,-94.6500015258789,2.0,,,940717,HIP33582
HIP  33582,1979IAUS...30...57E,2.0,,,C,v  ,-80.5999984741211,1.0,,##,940717,HIP33582
HIP  33582,1965MNRAS.131...95P,2.0,,,,v  ,-80.5999984741211,1.0,,,940717,HIP33582
HIP  33582,1964ApJ...139..442S,1.0,,,,v  ,-91.5999984741211,1.0,,,940717,HIP33582
HIP  33642,2013A&A...552A..64S,,,,A,z  ,82.899,3.0,,,949981,HIP33642
HIP  33642,2006AstL...32..759G,,,,A,V  ,84.2,2.0,,,949981,HIP33642
HIP  33642,2004A&A...418..989N,3.0,,,A,v  ,84.0999984741211,1.0,,,949981,HIP33642
HIP  34017,2007A&A...465..271R,,,,A,v  ,24.3,1.0,,,935989,HIP34017
HIP  34017,1914ApJ....39..341.,3.0,,,,v  ,20.299999237060547,1.0,,,935989,HIP34017
HIP  34017,1933PDAO....6..149H,1.0,,,,v  ,24.5,1.0,,,935989,HIP34017
HIP  34017,1953GCRV..C......0W,4.0,,,B,v  ,21.799999237060547,1.0,,##,935989,HIP34017
HIP  34017,2002ApJS..141..503N,,,,A,V  ,24.53,2.0,,,935989,HIP34017
HIP  34017,2004A&A...418..989N,19.0,,,A,v  ,24.299999237060547,1.0,,,935989,HIP34017
HIP  34017,2005PASJ...57...13T,,,,,v  ,21.8,1.0,,,935989,HIP34017
HIP  34017,2010A&A...521A..12M,,,D,,V  ,24.6,2.0,,,935989,HIP34017
HIP  34028,2004A&A...418..989N,9.0,,,C,v  ,78.0,1.0,,,949987,HIP34028
HIP  34028,2006AstL...32..759G,,,,C,V  ,78.3,2.0,,,949987,HIP34028
HIP  34065,1959MNRAS.119..638E,5.0,,,,v  ,86.4000015258789,1.0,,,950319,HIP34065
HIP  34065,1979IAUS...30...57E,5.0,,,B,v  ,86.4000015258789,1.0,,##,950319,HIP34065
HIP  34065,2004A&A...418..989N,5.0,,,A,v  ,88.0999984741211,1.0,,,950319,HIP34065
HIP  34065,2005ApJS..159..141V,,,,A,V  ,89.5,2.0,,,950319,HIP34065
HIP  34069,2015AJ....149....8T,1.0,,,,v  ,88.5,1.0,,,950321,HIP34069
HIP  34069,2005ApJS..159..141V,,,,A,V  ,89.0,2.0,,,950321,HIP34069
HIP  34069,2004A&A...418..989N,5.0,,,A,v  ,88.0,1.0,,,950321,HIP34069
HIP  34069,1979IAUS...30...57E,4.0,,,B,v  ,90.4000015258789,1.0,,##,950321,HIP34069
HIP  34069,1964RGOB...85..207E,4.0,,,,v  ,90.4000015258789,1.0,,,950321,HIP34069
HIP  34212,2004A&A...418..989N,14.0,,,B,v  ,47.400001525878906,1.0,,,3150290,HIP34212
HIP  34212,2006AstL...32..759G,,,,B,V  ,47.3,2.0,,,3150290,HIP34212
HIP  34254,2004A&A...418..989N,2.0,,,A,v  ,35.70000076293945,1.0,,,949994,HIP34254
HIP  34254,2006AstL...32..759G,,,,A,V  ,35.9,2.0,,,949994,HIP34254
HIP  34285,1974A&AS...16..277C,4.0,,,,v  ,259.0,0.0,,,3022218,HIP34285
HIP  34285,1974A&AS...16..277C,1.0,,,,v  ,282.0,0.0,,,3022218,HIP34285
HIP  34285,1974PASP...86..742R,,,,,v  ,221.0,1.0,,,3022218,HIP34285
HIP  34285,2004A&A...418..989N,5.0,,,A,v  ,261.0,1.0,,,3022218,HIP34285
HIP  34285,2011A&A...526A.112S,,,,A,V  ,260.67,2.0,,,3022218,HIP34285
HIP  34410,1965MNRAS.129...63P,2.0,,,,v  ,56.5,1.0,,,2995825,HIP34410
HIP  34410,1979IAUS...30...57E,2.0,,,C,v  ,56.5,1.0,,##,2995825,HIP34410
HIP  34410,2004A&A...418..989N,18.0,,,A,v  ,56.400001525878906,1.0,,,2995825,HIP34410
HIP  34410,2006AstL...32..759G,,,,A,V  ,56.3,2.0,,,2995825,HIP34410
HIP  34511,2013A&A...552A..64S,,,,A,z  ,43.251,3.0,,,954224,HIP34511
HIP  34511,2007A&A...465..271R,,,,A,v  ,42.6,1.0,,,954224,HIP34511
HIP  34511,2004A&A...418..989N,6.0,,,A,v  ,42.599998474121094,1.0,,,954224,HIP34511
HIP  34511,2002AJ....124.1144L,,,,A,V  ,42.89,2.0,,,954224,HIP34511
HIP  34511,2002AJ....124.1144L,10.0,,,A,v  ,42.88999938964844,2.0,,,954224,HIP34511
HIP  34739,1961RGOB...48..389E,4.0,,,,v  ,86.9000015258789,1.0,,,2995463,HIP34739
HIP  34739,1965MNRAS.131...95P,1.0,,,,v  ,86.69999694824219,1.0,,,2995463,HIP34739
HIP  34739,1979IAUS...30...57E,5.0,,,B,v  ,86.9000015258789,1.0,,##,2995463,HIP34739
HIP  34739,2004A&A...418..989N,4.0,,,A,v  ,86.69999694824219,1.0,,,2995463,HIP34739
HIP  34739,2005ApJS..159..141V,,,,A,V  ,88.2,2.0,,,2995463,HIP34739
HIP  34961,2004A&A...418..989N,2.0,,,A,v  ,90.5999984741211,1.0,,,2995651,HIP34961
HIP  34961,2006AstL...32..759G,,,,A,V  ,90.9,2.0,,,2995651,HIP34961
HIP  35139,1915ApJ....42..172A,1.0,,,,v  ,57.0,1.0,,,959804,HIP35139
HIP  35139,1950ApJ...112...48M,3.0,,,,v  ,63.0,1.0,,,959804,HIP35139
HIP  35139,1953GCRV..C......0W,6.0,,,C,v  ,60.0,0.0,,##,959804,HIP35139
HIP  35139,2002ApJS..141..503N,,,,A,V  ,66.73,2.0,,,959804,HIP35139
HIP  35139,2004A&A...418..989N,8.0,,,A,v  ,66.5999984741211,1.0,,,959804,HIP35139
HIP  35148,2007A&A...465..271R,,,,A,v  ,42.0,1.0,,,963842,HIP35148
HIP  35148,2004A&A...418..989N,11.0,,,A,v  ,42.0,1.0,,,963842,HIP35148
HIP  35148,2006AstL...32..759G,,,,A,V  ,42.1,2.0,,,963842,HIP35148
HIP  35318,2013A&A...552A..64S,,,,A,z  ,92.349,3.0,,,3009055,HIP35318
HIP  35318,2006AstL...32..759G,,,,A,V  ,92.2,2.0,,,3009055,HIP35318
HIP  35318,2004A&A...418..989N,3.0,,,A,v  ,92.30000305175781,1.0,,,3009055,HIP35318
HIP  35718,2004A&A...418..989N,7.0,,,A,v  ,98.5,1.0,,,972772,HIP35718
HIP  35718,2006AstL...32..759G,,,,A,V  ,98.8,2.0,,,972772,HIP35718
HIP  35750,2002AJ....124.1144L,16.0,,,A,v  ,-61.77000045776367,2.0,,,971167,HIP35750
HIP  35750,2002AJ....124.1144L,,,,A,V  ,-61.77,2.0,,,971167,HIP35750
HIP  36210,2013A&A...552A..64S,,,,A,z  ,4.904,3.0,,,3008867,HIP36210
HIP  36210,2007A&A...465..271R,,,,A,v  ,4.3,1.0,,,3008867,HIP36210
HIP  36210,2005ApJS..159..141V,,,,B,V  ,5.8,2.0,,,3008867,HIP36210
HIP  36210,2004A&A...418..989N,4.0,,,A,v  ,4.300000190734863,1.0,,,3008867,HIP36210
HIP  36210,1979IAUS...30...57E,4.0,,,B,v  ,3.4000000953674316,1.0,,##,3008867,HIP36210
HIP  36210,1959MNRAS.119..638E,4.0,,,,v  ,3.4000000953674316,1.0,,,3008867,HIP36210
HIP  36269,2000AJ....119.2866B,,,,,v  ,269.0,0.0,,,981516,HIP36269
HIP  36269,2004A&A...418..989N,3.0,,,A,v  ,268.79998779296875,1.0,,,981516,HIP36269
HIP  36269,2010A&A...511L..10N,,,,A,V  ,268.49,2.0,,,981516,HIP36269
HIP  36491,1955PDDO....2...97R,4.0,,,,v  ,79.9000015258789,1.0,,,986213,HIP36491
HIP  36491,1979IAUS...30...57E,4.0,,,C,v  ,79.9000015258789,1.0,,##,986213,HIP36491
HIP  36491,2002AJ....124.1144L,19.0,,,A,v  ,90.63999938964844,2.0,,,986213,HIP36491
HIP  36491,2002AJ....124.1144L,,,,A,V  ,90.64,2.0,,,986213,HIP36491
HIP  36491,2004A&A...418..989N,7.0,,,A,v  ,91.19999694824219,1.0,,,986213,HIP36491
HIP  36515,2007A&A...465..271R,,,,A,v  ,9.2,1.0,,,999017,HIP36515
HIP  36515,1966RGOB..110..185E,4.0,,,,v  ,8.600000381469727,1.0,,,999017,HIP36515
HIP  36515,1979IAUS...30...57E,4.0,,,B,v  ,8.600000381469727,1.0,,##,999017,HIP36515
HIP  36515,2004A&A...418..989N,4.0,,,A,v  ,9.199999809265137,1.0,,,999017,HIP36515
HIP  36515,2006A&A...460..695T,4.0,,,A,v  ,9.199999809265137,1.0,,,999017,HIP36515
HIP  36515,2006AstL...32..759G,,,,A,V  ,9.1,2.0,,,999017,HIP36515
HIP  36795,2015A&A...574A..50J,,,A,,V  ,61.09,2.0,,,995119,HIP36795
HIP  36795,2013A&A...554A..84M,,,,B,V  ,60.72,2.0,,,995119,HIP36795
HIP  36795,2006AstL...32..759G,,,,A,V  ,60.6,2.0,,,995119,HIP36795
HIP  36795,2004A&A...418..989N,10.0,,,A,v  ,60.70000076293945,1.0,,,995119,HIP36795
HIP  36795,1999VeARI..35....1W,,,,,v  ,61.400001525878906,1.0,,,995119,HIP36795
HIP  36795,1970MNRAS.148..489F,1.0,,,,v  ,60.099998474121094,1.0,,,995119,HIP36795
HIP  36795,1953GCRV..C......0W,15.0,,,A,v  ,61.099998474121094,1.0,,##,995119,HIP36795
HIP  36795,1928PLicO..16....1C,9.0,,,,v  ,60.900001525878906,1.0,,,995119,HIP36795
HIP  36795,1923ApJ....57..149A,4.0,,,,v  ,58.79999923706055,1.0,,,995119,HIP36795
HIP  36795,1921AnCap..10e...1L,3.0,,,,v  ,61.900001525878906,1.0,,,995119,HIP36795
