hip,bibcode,nbmes,obsdate,qual,quality,velType,velValue,velValue_prec,remark,remarks,oidref,hipnospace
HIP   1599,1928PLicO..16....1C,4.0,,,,v  ,9.300000190734863,1.0,,,3280716,HIP1599
HIP   1599,1953GCRV..C......0W,17.0,,,A,v  ,8.699999809265137,1.0,,##,3280716,HIP1599
HIP   1599,1957MNRAS.117..534E,4.0,,,,v  ,9.5,1.0,,,3280716,HIP1599
HIP   1746,1929ApJ....70..207A,3.0,,,,v  ,-5.0,1.0,,,1257257,HIP1746
HIP   1746,1953GCRV..C......0W,3.0,,,C,v  ,-5.0,0.0,,##,1257257,HIP1746
HIP   1746,2004A&A...418..989N,16.0,,,A,v  ,-6.400000095367432,1.0,,,1257257,HIP1746
HIP   1746,2006AstL...32..759G,,,,A,V  ,-6.3,2.0,,,1257257,HIP1746
HIP   1877,2004A&A...418..989N,2.0,,,A,v  ,-15.300000190734863,1.0,,,3261614,HIP1877
HIP   1877,2006AstL...32..759G,,,,A,V  ,-15.1,2.0,,,3261614,HIP1877
HIP   1931,2004A&A...418..989N,2.0,,,A,v  ,8.399999618530273,1.0,,,3262054,HIP1931
HIP   1931,2005ApJS..159..141V,,,,B,V  ,8.3,2.0,,,3262054,HIP1931
HIP   1955,1961RGOB...44..351E,4.0,,,,v  ,11.0,1.0,,,3262436,HIP1955
HIP   1955,1965MNRAS.131...95P,7.0,,,,v  ,10.0,1.0,,V,3262436,HIP1955
HIP   1955,1967RGOB..130..355B,22.0,,,,v  ,8.300000190734863,1.0,,O,3262436,HIP1955
HIP   1955,1979IAUS...30...57E,29.0,,,A,v  ,8.300000190734863,1.0,,##,3262436,HIP1955
HIP   1955,2004A&A...418..989N,30.0,,,C,v  ,13.199999809265137,1.0,,,3262436,HIP1955
HIP   1955,2006AstL...32..759G,,,,B,V  ,12.3,2.0,,,3262436,HIP1955
HIP   1976,2004A&A...418..989N,4.0,,,C,v  ,22.0,1.0,,,1242494,HIP1976
HIP   1976,2006AstL...32..759G,,,,C,V  ,22.0,2.0,,,1242494,HIP1976
HIP   2021,2015A&A...574A..50J,,,A,,V  ,23.1,2.0,,,3274779,HIP2021
HIP   2021,2007A&A...465..271R,,,,A,v  ,22.4,1.0,,,3274779,HIP2021
HIP   2021,2005ApJS..159..141V,,,,A,V  ,22.1,2.0,,,3274779,HIP2021
HIP   2021,2004A&A...418..989N,5.0,,,A,v  ,22.399999618530273,1.0,,,3274779,HIP2021
HIP   2021,1999VeARI..35....1W,,,,,v  ,23.299999237060547,1.0,,,3274779,HIP2021
HIP   2021,1979IAUS...30...57E,47.0,,,A,v  ,22.700000762939453,1.0,,##,3274779,HIP2021
HIP   2021,1970MNRAS.148..489F,12.0,,,,v  ,23.299999237060547,1.0,,,3274779,HIP2021
HIP   2021,1968MNRAS.139..341B,2.0,,,,v  ,23.200000762939453,1.0,,,3274779,HIP2021
HIP   2021,1961MNRAS.123..233B,26.0,,,,v  ,22.100000381469727,1.0,,,3274779,HIP2021
HIP   2021,1957MNRAS.117..534E,6.0,,,,v  ,23.299999237060547,1.0,,,3274779,HIP2021
HIP   2021,1953GCRV..C......0W,15.0,,,A,v  ,22.799999237060547,1.0,,##,3274779,HIP2021
HIP   2021,1928PLicO..16....1C,4.0,,,,v  ,22.799999237060547,1.0,,,3274779,HIP2021
HIP   2021,1928AnCap..10h...1J,6.0,,,,v  ,21.700000762939453,1.0,,,3274779,HIP2021
HIP   2021,1918ApJ....48..261L,6.0,,,,v  ,21.700000762939453,1.0,,,3274779,HIP2021
HIP   2021,1913LicOB...7..113C,1.0,,,,v  ,22.799999237060547,1.0,,,3274779,HIP2021
HIP   2021,1911PLicO...9...71W,5.0,,,,v  ,23.0,1.0,,,3274779,HIP2021
HIP   2057,2004A&A...418..989N,5.0,,,C,v  ,-18.799999237060547,1.0,,,1388793,HIP2057
HIP   2057,2006AstL...32..759G,,,,C,V  ,-18.6,2.0,,,1388793,HIP2057
HIP   2194,2004A&A...418..989N,2.0,,,A,v  ,-43.099998474121094,1.0,,,1224958,HIP2194
HIP   2194,2006AstL...32..759G,,,,A,V  ,-42.9,2.0,,,1224958,HIP2194
HIP   2235,1923ApJ....57..149A,3.0,,,,v  ,-10.5,1.0,,,1423566,HIP2235
HIP   2235,1933PDAO....6..149H,3.0,,,,v  ,-9.399999618530273,1.0,,,1423566,HIP2235
HIP   2235,1950ApJ...111..221W,4.0,,,,v  ,-11.5,1.0,,,1423566,HIP2235
HIP   2235,1953GCRV..C......0W,7.0,,,B,v  ,-9.899999618530273,1.0,,##,1423566,HIP2235
HIP   2235,2000VeARI..37....1W,,,,,v  ,-9.899999618530273,1.0,,,1423566,HIP2235
HIP   2235,2004A&A...418..989N,45.0,,,A,v  ,-9.5,1.0,,,1423566,HIP2235
HIP   2235,2006AstL...32..759G,,,,A,V  ,-9.9,2.0,,,1423566,HIP2235
HIP   2319,17AJ....153...7521K,1.0,54672.831,A,A,v  ,0.44,2.0,,,1224964,HIP2319
HIP   2319,2006AstL...32..759G,,,,A,V  ,0.5,2.0,,,1224964,HIP2319
HIP   2319,2004A&A...418..989N,3.0,,,A,v  ,0.8999999761581421,1.0,,,1224964,HIP2319
HIP   2711,17AJ....153...7521K,1.0,54657.826,A,A,v  ,35.99,2.0,,,3231878,HIP2711
HIP   2711,2006AstL...32..759G,,,,A,V  ,36.0,2.0,,,3231878,HIP2711
HIP   2711,2004A&A...418..989N,2.0,,,A,v  ,36.29999923706055,1.0,,,3231878,HIP2711
HIP   2711,1999VeARI..35....1W,,,,,v  ,34.79999923706055,1.0,,,3231878,HIP2711
HIP   2711,1953GCRV..C......0W,6.0,,,B,v  ,34.79999923706055,1.0,,##,3231878,HIP2711
HIP   2711,1930LicOB..15...47N,6.0,,,,v  ,35.0,1.0,,,3231878,HIP2711
HIP   2743,1965MNRAS.129...63P,2.0,,,,v  ,1.399999976158142,1.0,,,3261657,HIP2743
HIP   2743,1966RGOB..110..185E,4.0,,,,v  ,1.7999999523162842,1.0,,,3261657,HIP2743
HIP   2743,1979IAUS...30...57E,6.0,,,B,v  ,1.5,1.0,,##,3261657,HIP2743
HIP   2743,2004A&A...418..989N,3.0,,,A,v  ,3.5,1.0,,,3261657,HIP2743
HIP   2743,2006AstL...32..759G,,,,A,V  ,3.7,2.0,,,3261657,HIP2743
HIP   2787,1932MNRAS..92..771S,4.0,,,,v  ,4.300000190734863,1.0,,,1369980,HIP2787
HIP   2787,1950ApJ...111..221W,3.0,,,,v  ,7.199999809265137,1.0,,,1369980,HIP2787
HIP   2787,1953GCRV..C......0W,7.0,,,B,v  ,6.199999809265137,1.0,,##,1369980,HIP2787
HIP   2787,2000VeARI..37....1W,,,,,v  ,6.199999809265137,1.0,,,1369980,HIP2787
HIP   2787,2004A&A...418..989N,13.0,,,A,v  ,11.600000381469727,1.0,,,1369980,HIP2787
HIP   2787,2006AstL...32..759G,,,,A,V  ,11.3,2.0,,,1369980,HIP2787
HIP   2909,2007A&A...465..271R,,,,A,v  ,26.2,1.0,,,1278060,HIP2909
HIP   2909,2004A&A...418..989N,4.0,,,A,v  ,26.200000762939453,1.0,,,1278060,HIP2909
HIP   2909,2007A&A...475..519H,,,,A,V  ,26.2,2.0,,,1278060,HIP2909
HIP   3026,2007A&A...465..271R,,,,B,v  ,-50.2,1.0,,,1345707,HIP3026
HIP   3026,1955PDDO....2...97R,4.0,,,,v  ,-50.29999923706055,1.0,,,1345707,HIP3026
