# pixel, wavelength
253.49776567137448,7438.8984
350.48933365660855,7245.1666
385.96682800595414,7173.9381
611.8830370457823,6717.043
630.946098741436,6678.2762
702.3222611485875,6532.8822
715.2450530491801,6506.5281
799.4864395301523,6334.4278
893.072235880927,6143.0626
989.9800544605185,5944.8342
1227.524397964227,5460.74

